folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Measurements/Polysomnography/Oxygen Saturation,avdrop,"Average oxygen desaturation (Rapid eye movement sleep (REM), Non-supine, all oxygen desaturations)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,avdrop2,"Average oxygen desaturation (Rapid eye movement sleep (REM), Non-supine, >=2% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,avdrop3,"Average oxygen desaturation (Rapid eye movement sleep (REM), Non-supine, >=3% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,avdrop4,"Average oxygen desaturation (Rapid eye movement sleep (REM), Non-supine, >=4% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,avdrop5,"Average oxygen desaturation (Rapid eye movement sleep (REM), Non-supine, >=5% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,avgsat,Average oxygen saturation (SaO2) in sleep,"",numeric,percent,"",hypoxia;hypoxemia;oximetry;non-rem;nrem;rem;non-rapid eye movement;rapid eye movement,( ( avsao2nh ) * ( timest1p + timest2p + times34p ) + ( avsao2rh ) * ( timeremp ) ) / 100,true,""
Measurements/Polysomnography/Oxygen Saturation,avsao2nh,Average oxygen saturation (SaO2)% during non-rapid eye movement sleep (NREM) ,"",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,avsao2rh,Average oxygen saturation (SaO2)% during Rapid eye movement sleep (REM),"",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,losao2nr,Minimum oxygen saturation (SaO2) in non-rapid eye movement (NREM) sleep,"The minimum of all oxygen saturation values in epochs scored as stages other than rapid eye movement sleep (REM) (i.e., 1,2,3/4).",numeric,percent,"",oximetry;non-rem,mnsao2nh,"",""
Measurements/Polysomnography/Oxygen Saturation,losao2r,Minimum oxygen saturation (SaO2) in rapid eye movement sleep (REM),The minimum of all oxygen saturation values in epochs scored as stage REM.,numeric,percent,"",oximetry,mnsao2rh,"",""
Measurements/Polysomnography/Oxygen Saturation,minsat,Minimum oxygen saturation (SaO2) in sleep,Lowest oxygen saturation (SaO2)% during sleep,numeric,percent,"",hypoxia;hypoxemia;oximetry;non-rem;nrem;rem;non-rapid eye movement;rapid eye movement,"min(losao2r,losao2nr)",true,""
Measurements/Polysomnography/Oxygen Saturation,mndnba,"Minimum oxygen saturation (SaO2) w/ arousals (Non-rapid eye movement sleep (NREM), Supine, all oxygen desaturations)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndnba2,"Minimum oxygen saturation (SaO2) w/ arousals (Non-rapid eye movement sleep (NREM), Supine, >=2% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndnba3,"Minimum oxygen saturation (SaO2) w/ arousals (Non-rapid eye movement sleep (NREM), Supine, >=3% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndnba4,"Minimum oxygen saturation (SaO2) w/ arousals (Non-rapid eye movement sleep (NREM), Supine, >=4% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndnba5,"Minimum oxygen saturation (SaO2) w/ arousals (Non-rapid eye movement sleep (NREM), Supine, >=5% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndnbp,"Minimum oxygen saturation (SaO2) (Non-rapid eye movement sleep (NREM), Supine, all oxygen desaturations)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndnbp2,"Minimum oxygen saturation (SaO2) (Non-rapid eye movement sleep (NREM), Supine, >=2% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndnbp3,"Minimum oxygen saturation (SaO2) (Non-rapid eye movement sleep (NREM), Supine, >=3% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndnbp4,"Minimum oxygen saturation (SaO2) (Non-rapid eye movement sleep (NREM), Supine, >=4% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndnbp5,"Minimum oxygen saturation (SaO2) (Non-rapid eye movement sleep (NREM), Supine, >=5% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndnoa,"Minimum oxygen saturation (SaO2) w/ arousals (Non-rapid eye movement sleep (NREM), Non-supine, all oxygen desaturations)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndnoa2,"Minimum oxygen saturation (SaO2) w/ arousals (Non-rapid eye movement sleep (NREM), Non-supine, >=2% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndnoa3,"Minimum oxygen saturation (SaO2) w/ arousals (Non-rapid eye movement sleep (NREM), Non-supine, >=3% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndnoa4,"Minimum oxygen saturation (SaO2) w/ arousals (Non-rapid eye movement sleep (NREM), Non-supine, >=4% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndnoa5,"Minimum oxygen saturation (SaO2) w/ arousals (Non-rapid eye movement sleep (NREM), Non-supine, >=5% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndnop,"Minimum oxygen saturation (SaO2) (Non-rapid eye movement sleep (NREM), Non-supine, all oxygen desaturations)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndnop2,"Minimum oxygen saturation (SaO2) (Non-rapid eye movement sleep (NREM), Non-supine, >=2% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndnop3,"Minimum oxygen saturation (SaO2) (Non-rapid eye movement sleep (NREM), Non-supine, >=3% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndnop4,"Minimum oxygen saturation (SaO2) (Non-rapid eye movement sleep (NREM), Non-supine, >=4% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndnop5,"Minimum oxygen saturation (SaO2) (Non-rapid eye movement sleep (NREM), Non-supine, >=5% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndrba,"Minimum oxygen saturation (SaO2) w/ arousals (Rapid eye movement sleep (REM), Supine, all oxygen desaturations)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndrba2,"Minimum oxygen saturation (SaO2) w/ arousals (Rapid eye movement sleep (REM), Supine, >=2% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndrba3,"Minimum oxygen saturation (SaO2) w/ arousals (Rapid eye movement sleep (REM), Supine, >=3% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndrba4,"Minimum oxygen saturation (SaO2) w/ arousals (Rapid eye movement sleep (REM), Supine, >=4% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndrba5,"Minimum oxygen saturation (SaO2) w/ arousals (Rapid eye movement sleep (REM), Supine, >=5% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndrbp,"Minimum oxygen saturation (SaO2) (Rapid eye movement sleep (REM), Supine, all oxygen desaturations)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndrbp2,"Minimum oxygen saturation (SaO2) (Rapid eye movement sleep (REM), Supine, >=2% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndrbp3,"Minimum oxygen saturation (SaO2) (Rapid eye movement sleep (REM), Supine, >=3% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndrbp4,"Minimum oxygen saturation (SaO2) (Rapid eye movement sleep (REM), Supine, >=4% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndrbp5,"Minimum oxygen saturation (SaO2) (Rapid eye movement sleep (REM), Supine, >=5% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndroa,"Minimum oxygen saturation (SaO2) w/ arousals (Rapid eye movement sleep (REM), Non-supine, all oxygen desaturations)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndroa2,"Minimum oxygen saturation (SaO2) w/ arousals (Rapid eye movement sleep (REM), Non-supine, >=2% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndroa3,"Minimum oxygen saturation (SaO2) w/ arousals (Rapid eye movement sleep (REM), Non-supine, >=3% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndroa4,"Minimum oxygen saturation (SaO2) w/ arousals (Rapid eye movement sleep (REM), Non-supine, >=4% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndroa5,"Minimum oxygen saturation (SaO2) w/ arousals (Rapid eye movement sleep (REM), Non-supine, >=5% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndrop,"Minimum oxygen saturation (SaO2) (Rapid eye movement sleep (REM), Non-supine, all oxygen desaturations)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndrop2,"Minimum oxygen saturation (SaO2) (Rapid eye movement sleep (REM), Non-supine, >=2% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndrop3,"Minimum oxygen saturation (SaO2) (Rapid eye movement sleep (REM), Non-supine, >=3% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndrop4,"Minimum oxygen saturation (SaO2) (Rapid eye movement sleep (REM), Non-supine, >=4% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mndrop5,"Minimum oxygen saturation (SaO2) (Rapid eye movement sleep (REM), Non-supine, >=5% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mnsao2nh,Minimum oxygen saturation (SaO2) % during non-rapid eye movement sleep (NREM) ,"",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mnsao2rh,Minimum oxygen saturation (SaO2) % during Rapid eye movement sleep (REM),"",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdnba,"Maximum oxygen desaturation w/ arousals (Non-rapid eye movement sleep (NREM), Supine, all oxygen desaturations)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdnba2,"Maximum oxygen desaturation w/ arousals (Non-rapid eye movement sleep (NREM), Supine, >=2% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdnba3,"Maximum oxygen desaturation w/ arousals (Non-rapid eye movement sleep (NREM), Supine, >=3% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdnba4,"Maximum oxygen desaturation w/ arousals (Non-rapid eye movement sleep (NREM), Supine, >=4% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdnba5,"Maximum oxygen desaturation w/ arousals (Non-rapid eye movement sleep (NREM), Supine, >=5% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdnbp,"Maximum oxygen desaturation (Non-rapid eye movement sleep (NREM), Supine, all oxygen desaturations)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdnbp2,"Maximum oxygen desaturation (Non-rapid eye movement sleep (NREM), Supine, >=2% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdnbp3,"Maximum oxygen desaturation (Non-rapid eye movement sleep (NREM), Supine, >=3% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdnbp4,"Maximum oxygen desaturation (Non-rapid eye movement sleep (NREM), Supine, >=4% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdnbp5,"Maximum oxygen desaturation (Non-rapid eye movement sleep (NREM), Supine, >=5% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdnoa,"Maximum oxygen desaturation w/ arousals (Non-rapid eye movement sleep (NREM), Non-supine, all oxygen desaturations)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdnoa2,"Maximum oxygen desaturation w/ arousals (Non-rapid eye movement sleep (NREM), Non-supine, >=2% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdnoa3,"Maximum oxygen desaturation w/ arousals (Non-rapid eye movement sleep (NREM), Non-supine, >=3% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdnoa4,"Maximum oxygen desaturation w/ arousals (Non-rapid eye movement sleep (NREM), Non-supine, >=4% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdnoa5,"Maximum oxygen desaturation w/ arousals (Non-rapid eye movement sleep (NREM), Non-supine, >=5% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdnop,"Maximum oxygen desaturation (Non-rapid eye movement sleep (NREM), Non-supine, all oxygen desaturations)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdnop2,"Maximum oxygen desaturation (Non-rapid eye movement sleep (NREM), Non-supine, >=2% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdnop3,"Maximum oxygen desaturation (Non-rapid eye movement sleep (NREM), Non-supine, >=3% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdnop4,"Maximum oxygen desaturation (Non-rapid eye movement sleep (NREM), Non-supine, >=4% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdnop5,"Maximum oxygen desaturation (Non-rapid eye movement sleep (NREM), Non-supine, >=5% oxygen desaturation)","",numeric,percent,"",oximetry;non-rem,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdrba,"Maximum oxygen desaturation w/ arousals (Rapid eye movement sleep (REM), Supine, all oxygen desaturations)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdrba2,"Maximum oxygen desaturation w/ arousals (Rapid eye movement sleep (REM), Supine, >=2% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdrba3,"Maximum oxygen desaturation w/ arousals (Rapid eye movement sleep (REM), Supine, >=3% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdrba4,"Maximum oxygen desaturation w/ arousals (Rapid eye movement sleep (REM), Supine, >=4% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdrba5,"Maximum oxygen desaturation w/ arousals (Rapid eye movement sleep (REM), Supine, >=5% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdrbp,"Maximum oxygen desaturation (Rapid eye movement sleep (REM), Supine, all oxygen desaturations)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdrbp2,"Maximum oxygen desaturation (Rapid eye movement sleep (REM), Supine, >=2% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdrbp3,"Maximum oxygen desaturation (Rapid eye movement sleep (REM), Supine, >=3% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdrbp4,"Maximum oxygen desaturation (Rapid eye movement sleep (REM), Supine, >=4% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdrbp5,"Maximum oxygen desaturation (Rapid eye movement sleep (REM), Supine, >=5% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdroa,"Maximum oxygen desaturation with arousals (Rapid eye movement sleep (REM), Non-supine, all oxygen desaturations)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdroa2,"Maximum oxygen desaturation w/ arousals (Rapid eye movement sleep (REM), Non-supine, >=2% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdroa3,"Maximum oxygen desaturation w/ arousals (Rapid eye movement sleep (REM), Non-supine, >=3% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdroa4,"Maximum oxygen desaturation w/ arousals (Rapid eye movement sleep (REM), Non-supine, >=4% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdroa5,"Maximum oxygen desaturation w/ arousals (Rapid eye movement sleep (REM), Non-supine, >=5% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdrop,"Maximum oxygen desaturation (Rapid eye movement sleep (REM), Non-supine, all oxygen desaturations)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdrop2,"Maximum oxygen desaturation (Rapid eye movement sleep (REM), Non-supine, >=2% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdrop3,"Maximum oxygen desaturation (Rapid eye movement sleep (REM), Non-supine, >=3% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdrop4,"Maximum oxygen desaturation (Rapid eye movement sleep (REM), Non-supine, >=4% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxdrop5,"Maximum oxygen desaturation (Rapid eye movement sleep (REM), Non-supine, >=5% oxygen desaturation)","",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxsao2nh,Maximum oxygen saturation (SaO2) during non-rapid eye movement sleep (NREM),"",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,mxsao2rh,Maximum oxygen saturation (SaO2) during Rapid eye movement sleep (REM),"",numeric,percent,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,ndes2ph,Number of oxygen desaturation with at least >=2% oxygen desaturation,"",numeric,oxygen desaturation events,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,ndes3ph,Number of oxygen desaturation with at least >=3% oxygen desaturation,"",numeric,oxygen desaturation events,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,ndes4ph,Number of oxygen desaturation with at least >=4% oxygen desaturation,"",numeric,oxygen desaturation events,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,ndes5ph,Number of oxygen desaturation with at least >=5% oxygen desaturation,"",numeric,oxygen desaturation events,"",oximetry,"","",""
Measurements/Polysomnography/Oxygen Saturation,sao2nrem,Average oxygen saturation (SaO2) in non-rapid eye movement sleep (NREM),"The mean of all oxygen saturation (SaO2) values in epochs scored as stages other than rapid eye movement sleep (REM) (i.e., 1,2,3/4).",numeric,percent,"",oximetry;non-rem,avsao2nh,"",""
Measurements/Polysomnography/Oxygen Saturation,sao2rem,Average oxygen saturation (SaO2) in rapid eye movement sleep (REM),The mean of all oxygen saturation (SaO2) values in epochs scored as stage REM (Rapid eye movement sleep).,numeric,percent,"",oximetry,avsao2rh,"",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcanba,"Average Central Apnea length w/ arousals (Non-rapid eye movement sleep (NREM), Supine, all oxygen desaturations)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcanba2,"Average Central Apnea length with >=2% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcanba3,"Average Central Apnea length with >=3% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcanba4,"Average Central Apnea length with >=4% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcanba5,"Average Central Apnea length with >=5% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcanbp,"Average Central Apnea length (Non-rapid eye movement sleep (NREM), Supine, all oxygen desaturations)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcanbp2,"Average Central Apnea length (Non-rapid eye movement sleep (NREM), Supine, >=2% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcanbp3,"Average Central Apnea length (Non-rapid eye movement sleep (NREM), Supine, >=3% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcanbp4,"Average Central Apnea length (Non-rapid eye movement sleep (NREM), Supine, >=4% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcanbp5,"Average Central Apnea length (Non-rapid eye movement sleep (NREM), Supine, >=5% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcanoa,"Average Central Apnea length w/ arousals (Non-rapid eye movement sleep (NREM), Non-supine, all oxygen desaturations)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcanoa2,"Average Central Apnea length with >=2% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcanoa3,"Average Central Apnea length with >=3% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcanoa4,"Average Central Apnea length with >=4% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcanoa5,"Average Central Apnea length with >=5% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcanop,"Average Central Apnea length (Non-rapid eye movement sleep (NREM), Non-supine, all oxygen desaturations)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcanop2,"Average Central Apnea length (Non-rapid eye movement sleep (NREM), Non-supine, >=2% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcanop3,"Average Central Apnea length (Non-rapid eye movement sleep (NREM), Non-supine, >=3% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcanop4,"Average Central Apnea length (Non-rapid eye movement sleep (NREM), Non-supine, >=4% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcanop5,"Average Central Apnea length (Non-rapid eye movement sleep (NREM), Non-supine, >=5% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcarba,"Average Central Apnea length w/ arousals (Rapid eye movement sleep (REM), Supine, all oxygen desaturations)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcarba2,"Average Central Apnea length with >=2% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcarba3,"Average Central Apnea length with >=3% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcarba4,"Average Central Apnea length with >=4% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcarba5,"Average Central Apnea length with >=5% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcarbp,"Average Central Apnea length (Rapid eye movement sleep (REM), Supine, all oxygen desaturations)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcarbp2,"Average Central Apnea length (Rapid eye movement sleep (REM), Supine, >=2% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcarbp3,"Average Central Apnea length (Rapid eye movement sleep (REM), Supine, >=3% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcarbp4,"Average Central Apnea length (Rapid eye movement sleep (REM), Supine, >=4% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcarbp5,"Average Central Apnea length (Rapid eye movement sleep (REM), Supine, >=5% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Apnea/Central,avcaroa,"Average Central Apnea length w/ arousals (Rapid eye movement sleep (REM), Non-supine, all oxygen desaturations)","",numeric,seconds,"",duration,"","",""
